,ZIPCODE,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Score
290,01475,7380,313,469,2598,1593,882,911,614,4.009620596205962
291,01501,12271,217,463,3719,1923,1124,3125,1700,4.58495640127129
292,01503,2271,11,99,623,316,160,657,405,4.808014090708939
293,01504,6352,78,268,2060,1241,676,1401,628,4.398614609571788
294,01505,3194,64,64,535,519,349,1114,549,5.054790231684408
295,01506,2602,110,195,865,547,126,544,215,4.105303612605688
296,01507,9133,121,301,2766,1626,908,2192,1219,4.5713347202452645
297,01510,9716,200,580,2717,1834,1029,2484,872,4.4256895841910255
298,01515,1538,26,99,461,274,169,333,176,4.407022106631989
299,01516,5716,113,114,1711,1215,653,1499,411,4.45591322603219
300,01518,2613,0,86,752,409,203,704,459,4.789896670493686
301,01519,4826,92,143,985,752,462,1475,917,4.9564857024450895
302,01520,10875,89,212,1926,1391,995,3351,2911,5.27016091954023
303,01521,1812,21,100,455,443,233,314,246,4.4862030905077255
304,01522,2106,40,37,355,325,211,633,505,5.1600189933523275
305,01523,5437,267,565,1086,1017,396,1314,792,4.438293176384035
306,01524,4751,92,378,1500,889,497,821,574,4.279730583035151
307,01525,224,17,15,117,16,0,34,25,3.7544642857142856
308,01527,9574,167,556,2938,1729,1008,1844,1332,4.432525590139962
309,01529,2238,74,135,663,468,273,444,181,4.245308310991957
310,01531,928,3,97,266,165,94,186,117,4.375
311,01532,10404,183,205,1572,1420,805,3443,2776,5.296424452133795
312,01534,4536,101,150,1382,685,376,914,928,4.662037037037037
313,01535,3353,67,222,1306,655,213,476,414,4.135997614076946
314,01536,5259,171,121,1236,930,396,1253,1152,4.830386004943906
315,01537,1555,35,206,435,234,96,424,125,4.236012861736334
316,01540,7959,148,311,2816,1903,605,1529,647,4.216358839050131
317,01541,2544,4,45,304,278,299,773,841,5.557389937106918
318,01542,1736,92,101,491,477,151,256,168,4.114055299539171
319,01543,5643,41,93,1543,791,501,1692,982,4.882332092858409
320,01545,25060,742,510,4459,2794,1911,7604,7040,5.218435754189944
321,01550,11711,805,1356,4083,2547,982,1274,664,3.6850824011613015
322,01560,3064,17,103,722,406,260,885,671,5.0
323,01561,269,0,0,19,43,59,148,0,5.249070631970261
324,01562,9075,396,549,3332,1999,744,1317,738,3.997134986225895
325,01564,5779,80,184,1284,975,428,1640,1188,4.93095691296072
326,01566,3941,36,124,759,706,431,1112,773,4.979193098198428
327,01568,5341,60,95,882,768,474,1994,1068,5.200898708107096
328,01569,9521,284,290,3120,1500,933,2164,1230,4.462031299233274
329,01570,12128,495,1070,4225,2188,1229,2086,835,4.004617414248021
330,01571,7433,244,336,2395,1497,704,1396,861,4.306740212565586
331,01581,13073,185,189,2035,1125,779,4679,4081,5.484892526581503
332,01583,5957,181,572,1791,1050,576,1084,703,4.230820882994796
333,01585,3533,67,250,1374,494,266,749,333,4.194735352391735
334,01588,6492,97,366,2139,1310,640,1407,533,4.291281577325939
335,01590,6572,45,105,1885,1066,491,1714,1266,4.834905660377358
336,01602,16321,424,853,3539,2686,1324,4258,3237,4.79860302677532
337,01603,12789,975,1442,4642,2319,1045,1448,918,3.706310110250997
338,01604,25842,1301,2048,8223,4308,2460,5038,2464,4.143409952790032
339,01605,18025,1361,1955,5897,3101,1242,2919,1550,3.8801664355062413
340,01606,14333,439,801,3968,2478,1325,3155,2167,4.50575594781274
341,01607,6113,259,790,1918,1208,500,1041,397,3.9178799280222476
342,01608,2189,278,385,580,311,128,315,192,3.6116948378254916
343,01609,12885,838,1212,2561,2048,826,2844,2556,4.518665114474194
344,01610,12899,1220,2170,4633,1965,889,1354,668,3.454841460578339
345,01611,1577,9,64,551,388,131,350,84,4.2390615091946735
346,01612,3214,25,66,522,630,217,922,832,5.191039203484754
347,01701,24756,487,551,4407,3237,1433,8277,6364,5.216230408789788
348,01702,26702,2066,1815,7825,4024,1216,5867,3889,4.260804434124784
349,01718,497,0,0,15,44,0,239,199,6.132796780684105
350,01719,4023,77,69,407,389,263,1195,1623,5.676858066119811
351,01720,15754,277,202,1233,1330,871,4829,7012,5.846959502348609
352,01721,12404,238,293,2346,1350,726,3720,3731,5.266768784263141
353,01730,9731,90,223,878,1112,531,3035,3862,5.705169047374371
354,01731,997,0,1,105,246,82,265,298,5.4032096288866605
355,01740,3443,7,21,437,363,304,1229,1082,5.5997676444960796
356,01741,3612,25,74,107,239,115,1312,1740,6.1121262458471755
357,01742,13943,232,453,1764,1088,445,3829,6132,5.659112099261278
358,01745,354,0,0,98,52,23,98,83,5.045197740112994
359,01746,10007,194,76,1161,1269,713,3671,2923,5.491855701009294
360,01747,4234,56,174,854,734,469,1469,478,4.819792158715163
361,01748,11702,195,186,1387,1306,602,4308,3718,5.5405913519056575
362,01749,14603,793,503,3813,2134,1241,3609,2510,4.601999589125522
363,01752,28680,1212,852,7779,4820,2400,6873,4744,4.601778242677824
364,01754,7845,156,182,1550,1313,534,2083,2027,5.07061822817081
365,01756,4118,31,38,1206,669,351,1245,578,4.777076250607091
366,01757,20225,945,1040,5240,3743,1731,4758,2768,4.464573547589616
367,01760,25368,246,472,3297,2788,1276,8303,8986,5.571310312204352
368,01770,2969,14,9,220,198,61,985,1482,6.087234759178174
369,01772,6281,118,95,853,759,267,2349,1840,5.446903359337686
370,01773,3704,55,8,208,304,170,996,1963,6.068574514038877
371,01775,4794,32,1,687,404,404,1611,1655,5.62828535669587
372,01776,12536,80,63,1180,944,409,4483,5377,5.911295469049138
373,01778,9472,52,94,513,690,253,3516,4354,6.057643581081082
374,01801,29183,840,881,7423,4634,2338,7937,5130,4.750334098619059
375,01803,19540,507,290,4023,2430,1585,6019,4686,5.1032241555783004
376,01810,23648,301,325,2033,2146,1377,8142,9324,5.778036197564276
377,01821,23430,382,1232,7372,4173,1956,5675,2640,4.437217242851046
378,01824,18680,232,413,3497,2927,1387,5827,4397,5.135599571734475
379,01826,21545,628,1204,7295,4094,2148,3794,2382,4.245764678579717
380,01827,2241,17,47,390,315,250,751,471,5.173583221775993
381,01830,18418,1056,1229,5385,3897,1936,3258,1657,4.130958844608536
382,01832,15879,500,1275,5105,2986,1332,3292,1389,4.184394483279804
383,01833,6042,35,118,1111,1103,512,1976,1187,5.087884806355512
384,01834,4542,58,113,895,883,565,1252,776,4.903126376045795
385,01835,9094,103,342,2509,1616,1134,2215,1175,4.614361117220145
386,01840,3522,903,522,1037,484,159,327,90,2.947473026689381
387,01841,29265,6175,4289,9718,5465,1200,1791,627,2.9694857338117204
388,01843,15981,2420,1874,4742,3436,1242,1433,834,3.428070834115512
389,01844,34037,2244,1960,10162,6556,3385,6000,3730,4.169256985045686
390,01845,20336,274,406,3104,2336,1720,7156,5340,5.343135326514555
391,01850,10018,910,700,4614,1615,708,846,625,3.553902974645638
392,01851,20468,2751,1716,6353,3432,1286,2965,1965,3.759282782880594
393,01852,23937,2568,1809,7616,3917,1401,3869,2757,3.9361657684755813
394,01854,17085,1783,1997,5759,2854,1277,1977,1438,3.674743927421715
395,01860,4916,91,169,1078,953,316,1448,861,4.835231895850285
396,01862,7750,132,561,2561,1541,636,1400,919,4.272774193548387
397,01863,6658,154,236,1561,1039,599,1556,1513,4.864373685791529
398,01864,11056,102,301,2636,1435,1025,3250,2307,4.986070911722142
399,01867,17650,219,322,2782,2120,1269,5759,5179,5.373427762039659
400,01876,22194,376,764,6781,4129,2209,5204,2731,4.5124357934576915
401,01879,8778,199,255,1879,1499,768,2820,1358,4.853953064479381
402,01880,19889,637,692,4045,2517,1784,6119,4095,4.953642717079792
403,01886,15809,275,147,1899,1590,944,5404,5550,5.605667657663357
404,01887,16506,324,410,4647,2839,1185,4063,3038,4.726160184175452
405,01890,15129,179,74,1705,1103,601,4526,6941,5.856434661907595
406,01901,1217,314,44,318,263,69,129,80,3.358258011503698
407,01902,31821,5080,3057,9987,6037,2355,3864,1441,3.467804280192326
408,01904,11916,690,522,4071,2390,1088,2012,1143,4.113796576032225
409,01905,16129,2610,1134,5623,2853,1275,1992,642,3.470766941533883
