ZIPCODE,STATE,2006_Score,2007_Score,2008_Score,2009_Score,2010_Score,2011_Score,2012_Score,2013_Score,2014_Score,2015_Score,2016_Score,2017_Score
58078,ND,2.3514209667725594,2.375118333859261,2.454235406091371,2.475225755791127,2.5253692507844185,2.5840387815642862,2.6870281400137266,2.744708994708995,2.8238636363636362,2.8416666666666663,2.8494868871151655,2.8823204419889503
58102,ND,2.121918621918622,2.0941960038058993,2.1692006950477842,2.1729439458584667,2.2099219785072868,2.2364391011879206,2.293439077144917,2.3404864091559374,2.385097493036212,2.407794015309673,2.4424908424908427,2.491124260355029
58103,ND,1.998004771199306,1.9851872666693429,2.0485002112378536,2.0392215061058345,2.0811397104835008,2.1063821154704425,2.151478816946443,2.1735340729001584,2.219335116545663,2.264469145266385,2.2671288743882547,2.3060468942821886
58104,ND,2.586170586170586,2.6086716158584737,2.6638772663877264,2.6787238822736463,2.7036433229373404,2.730620536006815,2.8008578431372553,2.8137254901960786,2.853711790393013,2.862157976251936,2.841878294202204,2.85149863760218
58201,ND,2.203305685051765,2.18300941474426,2.2919156414762742,2.327200047028393,2.3644346871569706,2.4177943166441134,2.46053347849755,2.498937300743889,2.5425803161652216,2.579848866498741,2.5876393110435667,2.632847815168257
58203,ND,1.8087855297157622,1.8326081044329614,1.9049831081081081,1.9325795053003536,1.9675645184036101,1.9870129870129871,2.034059945504087,2.063013698630137,2.1195795006570304,2.1691078561917445,2.197101449275362,2.204906204906205
58218,ND,2.268361581920904,2.3852459016393444,2.4759206798866855,2.5871559633027523,2.63855421686747,2.5693641618497107,2.777777777777778,2.7777777777777777,2.9117647058823533,2.882352941176471,2.8888888888888893,2.861111111111111
58220,ND,2.178484107579462,2.212700841622035,2.376139188069594,2.3910422049956934,2.496497373029772,2.5179666958808062,2.6403508771929824,2.6194690265486726,2.6521739130434785,2.675675675675676,2.690909090909091,2.7222222222222223
58225,ND,2.1658291457286434,2.2,2.3389261744966445,2.359778597785978,2.5171790235081377,2.4706994328922494,2.490566037735849,2.686274509803922,2.627450980392157,2.641509433962264,2.6666666666666665,2.6734693877551017
58237,ND,1.9862385321100917,1.9510815307820302,2.120060218291306,2.101174687381584,2.1747983096427195,2.2229704451926673,2.2888888888888888,2.343283582089552,2.3605947955390336,2.412878787878788,2.448412698412698,2.50996015936255
58249,ND,2.0021929824561404,2.0973333333333333,2.248727272727273,2.3401983218916858,2.391304347826087,2.445580715850986,2.5746268656716413,2.628787878787879,2.6511627906976742,2.707692307692308,2.7142857142857144,2.76
58257,ND,2.017258883248731,2.0931326434619004,2.1919504643962853,2.2413043478260875,2.3424657534246576,2.431746031746032,2.431578947368421,2.5263157894736845,2.5894736842105264,2.5999999999999996,2.6736842105263157,2.6702127659574466
58261,ND,2.046816479400749,2.086522462562396,2.27007299270073,2.2376599634369287,2.2906764168190126,2.3155080213903743,2.4482758620689657,2.446428571428571,2.5,2.6037735849056602,2.596153846153846,2.5294117647058822
58267,ND,2.0982658959537575,2.185185185185185,2.3296244784422813,2.353868194842407,2.491176470588235,2.4923291492329147,2.6911764705882355,2.7857142857142856,2.8235294117647056,2.779411764705882,2.7794117647058822,2.8714285714285714
58270,ND,1.966839378238342,1.9964028776978417,2.18522372528616,2.2171610169491522,2.3179824561403506,2.383720930232558,2.5,2.568421052631579,2.5894736842105264,2.597938144329897,2.5806451612903225,2.618556701030928
58278,ND,2.460063897763578,2.567484662576687,2.707317073170732,2.741693461950697,2.8703898840885143,2.94,2.9899999999999998,3.020618556701031,3.1443298969072164,3.13265306122449,3.2121212121212124,3.2989690721649483
